Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
02/01/2026,GLD,508.31,338.83,492.31,492.31,487.6,489.02,-3.29,489.02,0.0,139.00,"67,974.22"
31/12/2025,GLD,508.31,338.83,480.0,480.0,480.0,480.0,0.0,480.0,0.0,20.00,"9,600.00"
30/12/2025,GLD,508.31,338.83,480.0,480.0,480.0,480.0,0.0,480.0,0.0,20.00,"9,600.00"
29/12/2025,GLD,508.31,338.83,480.0,480.0,480.0,480.0,0.0,480.0,0.0,0.00,0.00
22/12/2025,GLD,508.31,338.83,479.07,479.07,470.0,470.0,-9.07,470.0,479.07,"28,008.00","13,163,832.56"
23/12/2025,GLD,508.31,338.83,470.0,470.0,470.0,470.0,0.0,0.0,470.0,14,"6,580.00"
24/12/2025,GLD,508.31,338.83,470.0,470.0,480.0,480.0,10.0,480.0,0.0,"20,089.00","9,642,690.00"
19/12/2025,GLD,508.31,338.83,480.67,480.67,475.0,479.07,-1.6,479.0,480.67,"31,354.00","15,020,682.16"
18/12/2025,GLD,508.31,338.83,489.02,489.02,480.67,480.67,-8.35,479.0,480.67,638.00,"306,665.90"
20/12/2025,GLD,508.31,338.83,480.67,480.67,479.07,479.07,-1.6,,,31354,15020760.78
17/12/2025,GLD,508.31,338.83,492.31,492.31,487.60,489.02,-3.29,489.02,0.0,139.00,"67,974.22"
16/12/2025,GLD,508.31,338.83,492.31,492.31,492.31,492.31,0.0,479.0,0.0,4.00,"1,969.24"
15/12/2025,GLD,508.31,338.83,492.31,492.31,492.31,492.31,0.0,0.0,492.31,6.00,"2,953.86"
12/12/2025,GLD,508.31,338.83,449.86,449.86,493.10,492.31,42.45,0.0,492.31,"1,597.00","786,226.74"
11/12/2025,GLD,508.31,338.83,449.0,449.0,449.86,449.86,0.86,449.86,0.0,115.00,"51,733.90"
10/12/2025,GLD,508.31,338.83,449.0,449.0,449.00,449.0,0.0,0.0,449.0,11.00,"4,939.00"
09/12/2025,GLD,508.31,338.83,449.0,449.0,449.00,449.0,0.0,0.0,449.0,1.00,449.00
08/12/2025,GLD,508.31,338.83,449.35,449.35,449.00,449.0,-0.35,0.0,449.0,22.00,"9,878.00"
04/12/2025,GLD,508.31,338.83,449.86,449.86,449.00,449.35,-0.51,0.0,449.86,34.00,"15,278.04"
03/12/2025,GLD,508.31,338.83,449.86,449.86,449.86,449.86,0.0,0.0,449.86,0.00,0.00
02/12/2025,GLD,508.31,338.83,449.86,449.86,449.86,449.86,0.0,0.0,449.0,40.00,"17,994.40"
01/12/2025,GLD,508.31,338.83,449.86,449.86,449.86,449.86,0.0,0.0,449.86,16.00,"7,197.76"
28/11/2025,GLD,508.31,338.83,449.86,449.86,449.86,449.86,0.0,0.0,449.86,5.00,"2,249.30"
27/11/2025,GLD,508.31,338.83,449.86,449.86,449.86,449.86,0.0,0.0,449.86,"2,244.00","1,009,485.84"
26/11/2025,GLD,508.31,338.83,449.86,449.86,449.86,449.86,0.0,0.0,449.86,0.00,0.00
25/11/2025,GLD,508.31,338.83,449.86,449.86,449.86,449.86,0.0,0.0,449.86,2.00,899.72
24/11/2025,GLD,508.31,338.83,449.86,449.86,449.86,449.86,0.0,0.0,449.86,64.00,"28,791.04"
21/11/2025,GLD,508.31,338.83,449.86,449.86,449.86,449.86,0.0,445.0,449.86,4.00,"1,799.44"
20/11/2025,GLD,508.31,338.83,449.86,449.86,449.86,449.86,0.0,445.0,449.86,45.00,"20,243.70"
19/11/2025,GLD,508.31,338.83,449.86,449.86,449.86,449.86,0.0,445.0,449.86,41.00,"18,444.26"
18/11/2025,GLD,508.31,338.83,449.86,449.86,449.86,449.86,0.0,0.0,449.86,0.00,0.00
17/11/2025,GLD,508.31,338.83,449.86,449.86,449.86,449.86,0.0,0.0,449.86,3.00,"1,349.58"
14/11/2025,GLD,508.31,338.83,449.86,449.86,449.86,449.86,0.0,0.0,449.86,8.00,"3,598.88"
13/11/2025,GLD,508.31,338.83,447.13,447.13,449.86,449.86,2.73,0.0,449.86,39.00,"17,544.47"
12/11/2025,GLD,508.31,338.83,447.13,447.13,447.13,447.13,0.0,0.0,447.13,2.00,894.26
11/11/2025,GLD,508.31,338.83,447.13,447.13,447.13,447.13,0.0,0.0,447.13,12.00,"5,365.56"
10/11/2025,GLD,508.31,338.83,447.13,447.13,447.13,447.13,0.0,0.0,447.13,63.00,"28,169.19"
07/11/2025,GLD,508.31,338.83,450.0,450.0,450.00,447.13,-2.87,0.0,450.0,160.00,"71,541.06"
06/11/2025,GLD,508.31,338.83,450.0,450.0,450.00,450.0,0.0,430.0,450.0,7.00,"3,150.00"
05/11/2025,GLD,508.31,338.83,450.0,450.0,450.00,450.0,0.0,446.0,0.0,0.00,0.00
04/11/2025,GLD,508.31,338.83,450.0,450.0,450.00,450.0,0.0,446.0,0.0,16.00,"7,200.00"
03/11/2025,GLD,508.31,338.83,446.0,446.0,450.00,450.0,4.0,446.0,0.0,82.00,"36,900.00"
31/10/2025,GLD,508.31,338.83,446.0,446.0,446.00,446.0,0.0,433.23,446.0,30.00,"13,380.00"
30/10/2025,GLD,508.31,338.83,446.0,446.0,446.00,446.0,0.0,433.23,446.0,7.00,"3,122.00"
29/10/2025,GLD,508.31,338.83,433.23,433.23,446.00,446.0,12.77,433.23,446.0,102.00,"45,492.00"
28/10/2025,GLD,508.31,338.83,459.28,459.28,431.97,433.23,-26.05,0.0,459.28,454.00,"196,687.89"
27/10/2025,GLD,508.31,338.83,459.28,459.28,459.28,459.28,0.0,0.0,459.28,98.00,"45,009.44"
24/10/2025,GLD,508.31,338.83,367.11,367.11,459.28,459.28,92.17,0.0,300.0,"2,383.00","1,094,462.80"
23/10/2025,GLD,508.31,338.83,367.11,367.11,367.11,367.11,0.0,0.0,300.0,6.00,"2,202.66"
22/10/2025,GLD,508.31,338.83,447.65,447.65,300.00,367.11,-80.54,0.0,300.0,11.00,"4,038.25"
21/10/2025,GLD,508.31,338.83,449.46,449.46,449.40,447.65,-1.81,0.0,449.4,81.00,"36,259.92"
20/10/2025,GLD,508.31,338.83,448.56,448.56,448.50,449.46,0.9,430.0,448.5,71.00,"31,911.90"
17/10/2025,GLD,508.31,338.83,448.6,448.6,447.00,448.56,-0.04,0.0,447.0,37.00,"16,596.60"
16/10/2025,GLD,508.31,338.83,462.04,462.04,448.50,448.6,-13.44,0.0,462.04,93.00,"41,719.92"
15/10/2025,GLD,508.31,338.83,462.04,462.04,462.04,462.04,0.0,0.0,0.0,131.00,"60,527.24"
14/10/2025,GLD,508.31,338.83,467.95,467.95,462.00,462.04,-5.91,462.04,476.0,954.00,"440,783.70"
13/10/2025,GLD,508.31,338.83,467.67,467.67,467.95,467.95,0.28,0.0,467.95,101.00,"47,262.71"
10/10/2025,GLD,508.31,338.83,482.09,482.09,467.67,467.67,-14.42,467.67,476.0,"3,073.00","1,437,161.66"
09/10/2025,GLD,508.31,338.83,482.09,482.09,482.09,482.09,0.0,0.0,481.0,180.00,"86,776.20"
08/10/2025,GLD,508.31,338.83,489.81,489.81,472.40,482.09,-7.72,0.0,0.0,394.00,"189,943.68"
07/10/2025,GLD,508.31,338.83,489.81,489.81,489.81,489.81,0.0,489.81,0.0,1.00,489.81
06/10/2025,GLD,508.31,338.83,476.72,476.72,491.30,489.81,13.09,490.4,0.0,36.00,"17,633.16"
03/10/2025,GLD,508.31,338.83,476.72,476.72,476.72,476.72,0.0,476.72,0.0,106.00,"50,532.32"
